176.0
4 / 4
Note/Rest,Octave,Len,Offset
B, 3, 0.5, 12.6666666667
A, 5, 0.25, 15.0
F, 4, 3.25, 16.0
G, 4, 2/3, 20.6666666667
F, 4, 1.25, 24.0
B-, 5, 1.25, 25.5
B, 3, 2.25, 28.6666666667
B-, 5, 0.25, 31.0
C, 4, 11/3, 31.5
C, 5, 0.25, 36.6666666667
F, 5, 0.5, 37.0
F, 5, 0.25, 37.6666666667
G, 5, 0.5, 38.0
G, 5, 0.25, 38.5
A, 5, 1/3, 38.75
A, 5, 0.25, 39.75
B-, 5, 4/3, 40.25
D, 6, 2.5, 41.6666666667
D, 6, 1/3, 45.6666666667
C, 6, 0.25, 46.0
D, 6, 0.25, 46.25
F, 5, 0.0, 46.6666666667
B-, 5, 1/3, 47.0
C, 6, 0.75, 48.0
F, 5, 0.5, 49.0
C, 5, 0.25, 49.6666666667
B-, 4, 2/3, 50.0
G#, 4, 0.25, 50.6666666667
A, 4, 1/3, 51.0
D, 4, 0.25, 51.5
F, 4, 1.5, 52.0
D, 5, 0.0, 54.6666666667
F, 5, 1/3, 55.0
A, 5, 1.75, 56.0
D, 5, 0.5, 58.0
F, 5, 0.0, 58.6666666667
A, 5, 1/3, 59.0
A, 5, 0.5, 60.0
F, 5, 0.25, 60.6666666667
D, 5, 0.25, 61.0
D, 5, 2/3, 62.0
F, 5, 0.0, 62.75
A, 5, 0.5, 63.0
G, 5, 0.333333333333, 63.6666666667
A, 5, 0.25, 64.0
G, 5, 0.25, 64.25
C, 5, 0.25, 64.6666666667
B, 4, 2/3, 65.0
B-, 4, 5/3, 66.0
B, 3, 0.75, 68.5
B-, 3, 1.25, 70.0
C, 4, 1.0, 73.6666666667
E, 3, 5/3, 76.0
E-, 5, 0.0, 81.0
E, 5, 0.25, 81.25
E-, 6, 0.25, 81.5
C#, 6, 1/3, 81.75
E, 5, 0.25, 82.3333333333
C#, 5, 0.25, 82.75
C, 5, 0.0, 83.0
B, 4, 0.25, 83.25
B-, 4, 0.25, 83.5
G, 4, 0.0, 83.75
C, 3, 2.0, 83.75
E-, 5, 0.5, 87.0
D, 4, 3.75, 87.5
C#, 5, 0.25, 91.6666666667
D, 5, 0.25, 92.0
C, 5, 0.5, 96.0
B-, 4, 1/3, 97.0
A, 4, 0.25, 98.0
F, 4, 0.25, 98.25
C, 4, 0.25, 98.6666666667
B-, 3, 0.25, 99.0
G, 3, 0.25, 99.25
G#, 3, 0.25, 99.5
A, 3, 0.75, 100.0
F, 4, 0.25, 101.666666667
G, 4, 0.5, 102.0
G, 4, 1/3, 102.666666667
A, 4, 0.25, 103.0
B-, 4, 0.5, 104.0
D, 5, 3.0, 105.666666667
D, 5, 0.25, 109.666666667
C, 5, 1.5, 110.0
A, 4, 0.5, 112.0
F, 5, 0.25, 113.0
C#, 3, 0.0, 113.75
E, 4, 0.0, 114.0
A, 5, 0.5, 114.0
E, 5, 0.0, 114.666666667
G, 5, 1.0, 115.0
D, 5, 1/3, 116.0
D, 4, 1/3, 116.666666667
D, 4, 1.5, 117.0
D, 5, 0.25, 119.75
F, 5, 1/3, 120.0
G, 2, 3.0, 121.0
G#, 4, 0.25, 124.0
B, 2, 0.25, 124.5
C, 3, 0.25, 124.75
G, 4, 0.0, 126.333333333
F, 4, 0.25, 126.5
B-, 3, 0.5, 127.0
G#, 3, 0.0, 127.666666667
A, 3, 1.0, 128.0
C, 4, 5/3, 130.0
F, 3, 2.75, 132.0
D, 5, 0.5, 135.0
C, 5, 0.0, 135.75
E-, 3, 0.333333333333, 135.75
F, 4, 0.0, 136.75
C, 5, 2/3, 137.0
F, 4, 0.5, 138.0
C, 4, 0.25, 138.75
D, 4, 0.25, 139.0
F, 4, 0.0, 139.333333333
G, 4, 0.25, 139.75
G#, 4, 0.0, 140.0
D, 5, 0.25, 140.25
G#, 4, 0.0, 140.5
F, 4, 0.25, 140.666666667
G, 4, 0.5, 141.0
E, 4, 0.0, 141.666666667
F, 4, 0.5, 142.0
D, 4, 0.25, 142.666666667
A, 3, 2/3, 143.0
F, 3, 0.25, 143.666666667
G, 3, 0.25, 144.0
G#, 3, 1/3, 144.25
F, 3, 0.25, 144.666666667
G, 3, 0.75, 145.0
F, 3, 1.0, 146.0
E-, 5, 0.0, 151.0
D, 5, 0.0, 151.333333333
A, 3, 0.75, 152.0
E-, 5, 0.5, 153.0
C#, 5, 0.0, 153.75
B-, 2, 0.333333333333, 154.666666667
G, 4, 1/3, 155.0
D, 5, 0.25, 156.0
G#, 4, 0.25, 156.333333333
F, 4, 0.25, 156.666666667
G, 4, 2/3, 157.0
F, 4, 0.0, 157.75
G#, 4, 2/3, 158.0
F, 4, 0.25, 158.75
D, 5, 1/3, 159.0
C, 3, 0.25, 159.666666667
D, 5, 0.25, 160.0
B, 4, 0.25, 160.25
G#, 4, 0.0, 160.5
F, 4, 0.25, 160.666666667
D, 5, 1/3, 161.0
G#, 4, 0.25, 161.666666667
C, 5, 0.25, 162.0
F, 4, 0.25, 162.333333333
F, 4, 0.25, 163.0
F, 3, 0.25, 163.333333333
G#, 3, 0.0, 163.666666667
A, 3, 0.666666666667, 164.0
F#, 2, 0.25, 164.666666667
E, 3, 1.0, 165.0
C, 6, 0.0, 167.0
G#, 5, 0.25, 167.25
F, 5, 0.25, 167.5
E-, 5, 0.25, 167.75
